m_id,a_id
855,1255
855,44
855,2248
856,372
856,1556
856,2250
857,2251
857,1546
857,159
858,1063
858,2252
858,2253
859,2254
859,2255
859,360
860,1063
860,2256
860,2257
861,2259
861,913
861,2260
862,527
862,2262
862,2263
863,2264
863,2265
863,2185
864,565
864,1288
864,2267
865,2268
865,2269
865,2270
866,1569
866,561
866,159
867,2272
867,934
867,2273
868,2274
868,2275
868,2276
869,1571
869,2277
869,2278
870,370
870,249
870,2279
871,166
871,1297
871,261
872,900
872,1583
872,2280
873,2281
873,2282
873,2283
874,166
874,1552
874,2284
875,2286
875,2287
875,2288
876,2290
876,2291
876,2292
877,944
877,2293
877,2294
878,466
878,75
878,2
879,2297
879,2298
879,2299
880,31
880,35
880,472
881,2300
881,2301
881,2302
882,2304
882,2305
882,827
883,2306
883,207
883,637
884,201
884,2307
884,2308
885,2310
885,2311
885,2312
886,2314
886,2315
886,2316
887,2318
887,2319
887,2320
888,1016
888,1742
888,2321
889,1991
889,678
889,2322
890,1867
890,115
890,778
891,40
891,1619
891,2324
892,1119
892,1120
892,2325
893,1187
893,2326
893,1669
894,1388
894,1867
894,312
895,2306
895,858
895,2328
896,2329
896,2330
896,2331
897,1417
897,2080
897,778
898,1096
898,2334
898,2335
899,139
899,2337
899,2338
900,623
900,2339
900,1105
901,1008
901,2340
901,2341
902,693
902,2343
902,2344
903,666
903,2346
903,187
904,2348
904,1018
904,2349
905,729
905,778
905,85
906,2350
906,2351
906,2352
907,2354
907,1687
907,2355
908,32
908,2357
908,2344
909,2358
909,2106
909,996
910,2360
910,2361
910,2362
911,35
911,41
911,471
912,2364
912,2365
912,2366
913,2029
913,984
913,419
914,2369
914,2315
914,2370
915,200
915,1811
915,681
916,2372
916,2024
916,2373
917,2374
917,2375
917,2376
918,1067
918,2377
918,419
919,1477
919,21
919,2153
920,2379
920,2380
920,2381
921,2382
921,2383
921,684
922,1741
922,1473
922,95
923,3
923,507
923,1636
924,2385
924,2386
924,2387
925,1456
925,2389
925,2390
926,36
926,2392
926,2393
927,2104
927,2394
927,2395
928,705
928,706
928,707
929,723
929,2397
929,2398
930,123
930,2399
930,465
931,2400
931,2401
931,2402
932,2106
932,742
932,315
933,1207
933,2404
933,1869
934,718
934,2071
934,1637
935,2407
935,32
935,2408
936,2068
936,2385
936,2410
937,307
937,2411
937,95
938,2412
938,2413
938,2414
939,1453
939,312
939,1477
940,67
940,2415
940,2416
941,1115
941,304
941,1262
942,36
942,2418
942,718
943,2420
943,2421
943,2422
944,2423
944,2033
944,2424
945,2051
945,2426
945,2427
946,526
946,1444
946,2428
947,2429
947,206
947,2430
948,705
948,707
948,2432
949,988
949,2424
949,2433
950,1115
950,2141
950,1468
951,1811
951,507
951,2435
952,1134
952,1420
952,2071
953,1741
953,2436
953,1813
954,10
954,1479
954,2438
955,1468
955,2109
955,2440
956,1782
956,1453
956,463
957,2442
957,2443
957,1804
958,1115
958,312
958,2444
959,2445
959,220
959,2446
960,2448
960,2449
960,316
961,13
961,1454
961,35
962,2450
962,1412
962,2451
963,1826
963,304
963,2452
964,537
964,144
964,26
965,1115
965,2453
965,2454
966,44
966,1435
966,2455
967,40
967,1372
967,1454
968,1495
968,743
968,2456
969,1812
969,14
969,2458
970,2459
970,2460
970,74
971,53
971,1406
971,2462
972,2463
972,2464
972,1484
973,2466
973,2467
973,2468
974,2469
974,53
974,2470
975,7
975,1226
975,2471
976,761
976,2472
976,57
977,1187
977,2473
977,2474
978,2476
978,2477
978,2478
979,2479
979,2480
979,2481
980,330
980,1869
980,2482
981,777
981,2483
981,418
982,1552
982,16
982,2485
983,330
983,2486
983,2487
984,2489
984,2490
984,2491
985,2493
985,2494
985,2495
986,44
986,332
986,2496
987,2498
987,243
987,2499
988,2500
988,2501
988,2502
989,1229
989,2503
989,2504
990,2505
990,2506
990,251
991,1554
991,2507
991,2508
992,44
992,2509
992,328
993,2511
993,2512
993,2513
994,2514
994,2515
994,2516
995,2518
995,2519
995,2520
996,1297
996,2522
996,2282
997,1254
997,2524
997,1571
998,571
998,1936
998,1929
999,2525
999,2526
999,2527
1000,2528
1000,2529
1000,2530
