588,Pride,2014,R,7.8
589,Le passé,2013,PG-13,7.8
590,La grande bellezza,2013,,7.8
591,The Lunchbox,2013,U,7.8
592,Vicky Donor,2012,UA,7.8
593,Big Hero 6,2014,U,7.8
594,About Time,2013,R,7.8
595,English Vinglish,2012,U,7.8
596,Kaze tachinu,2013,PG-13,7.8
597,Toy Story 4,2019,U,7.8
598,La migliore offerta,2013,R,7.8
599,Moonrise Kingdom,2012,A,7.8
600,How to Train Your Dragon 2,2014,U,7.8
601,The Big Short,2015,A,7.8
602,Kokuhaku,2010,,7.8
603,Ang-ma-reul bo-at-da,2010,,7.8
604,The Girl with the Dragon Tattoo,2011,R,7.8
605,Captain Phillips,2013,UA,7.8
606,Ajeossi,2010,R,7.8
607,Straight Outta Compton,2015,R,7.8
608,Madeo,2009,R,7.8
609,Chugyeokja,2008,,7.8
610,The Hobbit: The Desolation of Smaug,2013,UA,7.8
611,Das weiße Band - Eine deutsche Kindergeschichte,2009,UA,7.8
612,Män som hatar kvinnor,2009,R,7.8
613,The Trial of the Chicago 7,2020,R,7.8
614,Druk,2020,,7.8
615,The Fighter,2010,UA,7.8
616,Taken,2008,A,7.8
617,The Boy in the Striped Pyjamas,2008,PG-13,7.8
618,Once,2007,R,7.8
619,The Hobbit: An Unexpected Journey,2012,UA,7.8
620,Auf der anderen Seite,2007,,7.8
621,Atonement,2007,R,7.8
622,Drive,2011,A,7.8
623,American Gangster,2007,A,7.8
624,Avatar,2009,UA,7.8
625,Mr. Nobody,2009,R,7.8
626,Apocalypto,2006,A,7.8
627,Little Miss Sunshine,2006,UA,7.8
628,Hot Fuzz,2007,UA,7.8
629,The Curious Case of Benjamin Button,2008,UA,7.8
630,Veer-Zaara,2004,U,7.8
631,Adams æbler,2005,R,7.8
632,Pride & Prejudice,2005,PG,7.8
633,The World's Fastest Indian,2005,U,7.8
634,Tôkyô goddofâzâzu,2003,UA,7.8
635,Serenity,2005,PG-13,7.8
636,Walk the Line,2005,PG-13,7.8
637,Ondskan,2003,,7.8
638,The Notebook,2004,A,7.8
639,Diarios de motocicleta,2004,U,7.8
640,Lilja 4-ever,2002,R,7.8
641,Les triplettes de Belleville,2003,PG-13,7.8
642,Gongdong gyeongbi guyeok JSA,2000,,7.8
643,The Count of Monte Cristo,2002,PG-13,7.8
644,Waking Life,2001,R,7.8
645,Remember the Titans,2000,U,7.8
646,Wo hu cang long,2000,UA,7.8
647,Todo sobre mi madre,1999,R,7.8
648,Cast Away,2000,UA,7.8
649,The Boondock Saints,1999,R,7.8
650,The Insider,1999,UA,7.8
651,October Sky,1999,PG,7.8
652,Shrek,2001,U,7.8
653,Titanic,1997,UA,7.8
654,Hana-bi,1997,,7.8
655,Gattaca,1997,UA,7.8
656,The Game,1997,UA,7.8
657,Breaking the Waves,1996,R,7.8
658,Ed Wood,1994,U,7.8
659,What's Eating Gilbert Grape,1993,U,7.8
660,Tombstone,1993,R,7.8
661,The Sandlot,1993,U,7.8
662,The Remains of the Day,1993,U,7.8
663,Naked,1993,,7.8
664,The Fugitive,1993,U,7.8
665,A Bronx Tale,1993,R,7.8
666,Batman: Mask of the Phantasm,1993,PG,7.8
667,Lat sau san taam,1992,R,7.8
668,Night on Earth,1991,R,7.8
669,La double vie de Véronique,1991,R,7.8
670,Boyz n the Hood,1991,A,7.8
671,Misery,1990,R,7.8
672,Awakenings,1990,U,7.8
673,Majo no takkyûbin,1989,U,7.8
674,Glory,1989,R,7.8
675,Dip huet seung hung,1989,R,7.8
676,Back to the Future Part II,1989,U,7.8
677,Mississippi Burning,1988,A,7.8
678,Predator,1987,A,7.8
679,Evil Dead II,1987,A,7.8
680,Ferris Bueller's Day Off,1986,U,7.8
681,Down by Law,1986,R,7.8
682,The Goonies,1985,U,7.8
683,The Color Purple,1985,U,7.8
684,The Breakfast Club,1985,UA,7.8
685,The Killing Fields,1984,UA,7.8
686,Ghostbusters,1984,UA,7.8
687,The Right Stuff,1983,PG,7.8
688,The King of Comedy,1982,U,7.8
689,E.T. the Extra-Terrestrial,1982,U,7.8
690,Kramer vs. Kramer,1979,A,7.8
691,Days of Heaven,1978,PG,7.8
692,The Outlaw Josey Wales,1976,A,7.8
693,The Man Who Would Be King,1975,PG,7.8
694,The Conversation,1974,U,7.8
695,La planète sauvage,1973,U,7.8
696,The Day of the Jackal,1973,A,7.8
697,Badlands,1973,PG,7.8
698,Cabaret,1972,A,7.8
699,Willy Wonka & the Chocolate Factory,1971,U,7.8
700,Midnight Cowboy,1969,A,7.8
701,Wait Until Dark,1967,,7.8
